label,table,sub_group,top_group,black_list,white_list,google_search_collection
establishment,2,,place_type,,,
landmark,2,,place_type,,,
natural_feature,2,,place_type,,,
tourist_attraction,1,,place_type,,1,
point_of_interest,2,,place_type,,,
town_square,2,,place_type,,,
geocode,2,,top,,,
address,,,top,,,
political,2,,top,,,
accounting,1,urb,establishment,1,,
airport,1,public,establishment,,,
amusement_park,1,public,establishment,1,,
aquarium,1,public,establishment,1,,
art_gallery,1,public,establishment,,,
atm,1,retail,establishment,1,,
bakery,1,retail,establishment,1,,
bank,1,retail,establishment,1,,
bar,1,retail,establishment,1,,
beauty_salon,1,retail,establishment,1,,
bicycle_store,1,retail,establishment,1,,
book_store,1,retail,establishment,1,,
bowling_alley,1,retail,establishment,1,,
bus_station,1,public,establishment,,,
cafe,1,retail,establishment,1,,
campground,1,retail,establishment,1,,
car_dealer,1,retail,establishment,1,,
car_rental,1,retail,establishment,1,,
car_repair,1,retail,establishment,1,,
car_wash,1,retail,establishment,1,,
casino,1,urb,establishment,1,,
cemetery,1,public,establishment,1,,
church,1,worship,establishment,1,,
city_hall,1,public,establishment,1,,
clothing_store,1,retail,establishment,1,,
convenience_store,1,retail,establishment,1,,
courthouse,1,public,establishment,1,,
dentist,1,retail,establishment,1,,
department_store,1,retail,establishment,1,,
doctor,1,retail,establishment,1,,
drugstore,1,retail,establishment,1,,
electrician,1,urb,establishment,1,,
electronics_store,1,retail,establishment,1,,
embassy,1,public,establishment,1,,
fire_station,1,public,establishment,1,,
florist,1,retail,establishment,1,,
funeral_home,1,urb,establishment,1,,
furniture_store,1,retail,establishment,1,,
gas_station,1,retail,establishment,1,,
gym,1,retail,establishment,1,,
hair_care,1,retail,establishment,1,,
hardware_store,1,retail,establishment,1,,
hindu_temple,1,worship,establishment,1,,
home_goods_store,1,retail,establishment,1,,
hospital,1,public,establishment,1,,
insurance_agency,1,retail,establishment,1,,
jewelry_store,1,retail,establishment,1,,
laundry,1,retail,establishment,1,,
lawyer,1,urb,establishment,1,,
library,1,public,establishment,1,,
light_rail_station,1,public,establishment,,,
liquor_store,1,retail,establishment,1,,
local_government_office,1,public,establishment,1,,
locksmith,1,retail,establishment,1,,
lodging,1,retail,establishment,1,,
meal_delivery,1,retail,establishment,1,,
meal_takeaway,1,retail,establishment,1,,
mosque,1,worship,establishment,1,,
movie_rental,1,retail,establishment,1,,
movie_theater,1,retail,establishment,1,,
moving_company,1,urb,establishment,1,,
museum,1,public,establishment,1,,
night_club,1,retail,establishment,1,,
painter,1,urb,establishment,1,,
park,1,public,establishment,1,,
parking,1,public,establishment,1,,
pet_store,1,retail,establishment,1,,
pharmacy,1,retail,establishment,1,,
physiotherapist,1,urb,establishment,1,,
plumber,1,urb,establishment,1,,
police,1,public,establishment,1,,
post_office,1,public,establishment,,,
primary_school,1,public,establishment,1,,
real_estate_agency,1,retail,establishment,1,,
restaurant,1,retail,establishment,1,,
roofing_contractor,1,urb,establishment,1,,
rv_park,1,urb,establishment,1,,
school,1,public,establishment,1,,
secondary_school,1,public,establishment,1,,
shoe_store,1,retail,establishment,1,,
shopping_mall,1,retail,establishment,1,,
spa,1,retail,establishment,1,,
stadium,1,public,establishment,1,,
storage,1,urb,establishment,1,,
store,1,retail,establishment,1,,
subway_station,1,public,establishment,,,
supermarket,1,retail,establishment,1,,
synagogue,1,worship,establishment,1,,
taxi_stand,1,retail,establishment,1,,
train_station,1,public,establishment,,,
transit_station,1,public,establishment,,,
travel_agency,1,retail,establishment,1,,
university,1,public,establishment,1,,
veterinary_care,1,retail,establishment,1,,
zoo,1,public,establishment,1,,
finance,2,est_group,establishment,1,,
food,2,est_group,establishment,1,,
general_contractor,2,est_group,establishment,1,,
health,2,est_group,establishment,1,,
place_of_worship,2,est_group,establishment,1,,
locality,2,area,political,,,
administrative_area_level_1,2,area,political,,,
administrative_area_level_2,2,area,political,,,
administrative_area_level_3,2,area,political,,,
administrative_area_level_4,2,area,political,,,
administrative_area_level_5,2,area,political,,,
archipelago,2,area,political,,,
colloquial_area,2,area,political,,,
continent,2,area,political,,,
country,2,area,political,,,
neighborhood,2,area,political,,,
floor,2,location,address,,,
intersection,2,location,address,,,
plus_code,2,location,address,,,
post_box,2,location,address,,,
postal_code,2,location,address,,,
postal_code_prefix,2,location,address,,,
postal_code_suffix,2,location,address,,,
postal_town,2,location,address,,,
premise,2,location,address,,,
subpremise,2,location,address,,,
room,2,location,address,,,
route,2,location,address,,,
street_address,2,location,address,,,
street_number,2,location,address,,,
sublocality,2,area,political,,,
sublocality_level_1,2,area,political,,,
sublocality_level_2,2,area,political,,,
sublocality_level_3,2,area,political,,,
sublocality_level_4,2,area,political,,,
sublocality_level_5,2,area,political,,,
administrative_area_level_3,3,cities,political,,,cities
locality,3,area,political,,,cities
locality,3,area,political,,,regions
sublocality,3,area,political,,,regions
postal_code,3,area,political,,,regions
country,3,area,political,,,regions
administrative_area_level_1,3,area,political,,,regions
administrative_area_level_2,3,area,political,,,regions
